company names,cars names,engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H [s],Cars Prices [USD],fuel types,Seats,Torque [Nm]
nissan,z proto,v6,"2,998",400,290,"26,50","40,000",petrol,2,475
nissan,altima,i4,"2,488",188,225,"27,50","25,000",petrol,5,380
nissan,maxima,v6,"3,498",300,240,"28,50","35,000",petrol,5,354
nissan,sentra,i4,"1,998",149,200,"29,50","20,000",petrol,5,240
nissan,rogue,i4,"2,488",201,200,"30,50","28,000",petrol,5,270
nissan,pathfinder,v6,"3,498",284,225,"31,50","35,000",petrol,7,351
nissan,frontier,v6,"3,799",310,180,"1,60","30,000",petrol,5,381
nissan,titan,v8,"5,598",400,200,"2,60","40,000",petrol,5,560
aston martin,valkyrie,v12,"6,496",1160,402,"3,60","3,200,000 ",hybrid,2,900
aston martin,valhalla,v8,"3,996",1000,362,"4,60","1,100,000 ",hybrid,2,1000
aston martin,dbs superleggera,v12,"5,204",715,340,"5,60","316,000",petrol,2,900
aston martin,db11,v12,"5,204",600,322,"6,60","208,000",petrol,4,700
aston martin,vantage,v8,"3,996",503,313,"7,60","142,000",petrol,2,685
aston martin,dbx,v8,"3,996",542,291,"8,60","189,000",petrol,5,700
aston martin,rapide amr,v12,"5,935",580,328,"9,60","240,000",petrol,4,630
aston martin,vanquish,v12,"5,935",580,324,"10,60","294,000",petrol,2,630
aston martin,lagonda taraf,v12,"5,935",540,314,"11,60","1,100,000 ",petrol,4,630
aston martin,victor,v12,"5,204",836,320,"12,60","1,300,000 ",petrol,2,821
lamborghini,sian,v12,"6,498",819,350,"13,60","2,800,000 ",hybrid,2,720
lamborghini,aventador svj,v12,"6,498",759,350,"14,60","518,000",petrol,2,720
lamborghini,huracan performante,v10,"5,204",640,325,"15,60","274,000",petrol,2,600
lamborghini,huracan evo,v10,"5,204",640,325,"16,60","261,000",petrol,2,600
lamborghini,aventador sv,v12,"6,498",740,350,"17,60","493,000",petrol,2,690
lamborghini,urus,v8,"3,996",641,305,"18,60","211,000",petrol,5,850
lamborghini,huracan spyder,v10,"5,204",610,325,"19,60","287,000",petrol,2,600
lamborghini,aventador roadster,v12,"6,498",700,350,"20,60","445,000",petrol,2,690
lamborghini,huracan  performante spyder,v10,"5,204",640,325,"21,60","308,000",petrol,2,600
lamborghini,aventador s,v12,"6,498",740,350,"22,60","421,000",petrol,2,690
lamborghini,huracan evo spyder,v10,"5,204",640,325,"23,60","287,000",petrol,2,600
lamborghini,urus performante,v8,"3,996",641,305,"24,60","242,000",petrol,5,850
lamborghini,aventador ultimae,v12,"6,498",769,355,"25,60","545,000",petrol,2,720
lamborghini,huracan evo rwd,v10,"5,204",610,325,"26,60","258,000",petrol,2,560
lamborghini,aventador svj roadster,v12,"6,498",759,350,"27,60","573,000",petrol,2,720
lamborghini,urus s,v8,"3,996",671,305,"28,60","263,000",petrol,5,850
lamborghini,huracan sto,v10,"5,204",640,325,"29,60","327,000",petrol,2,565
lamborghini,aventador lp 780-4 ultimate,v12,"6,498",769,355,"30,60","545,000",petrol,2,720
lamborghini,huracan evo rwd spyder,v10,"5,204",610,325,"1,70","273,000",petrol,2,600
lamborghini,aventador svj xago,v12,"6,498",759,350,"2,70","603,000",petrol,2,720
lamborghini,urus graphite capsule,v8,"3,998",641,305,"3,70","253,000",petrol,5,850
lamborghini,huracan sto evo,v10,"5,204",640,325,"4,70","342,000",petrol,2,565
lamborghini,aventador lp 780-4 ultimate roadster,v12,"6,498",769,355,"5,70","573,000",petrol,2,720
rolls royce,ghost,v12,"6,592",591,250,"6,70","332,000",petrol,5,850
rolls royce,wraith,v12,"6,592",624,250,"7,70","330,000",petrol,4,870
rolls royce,dawn,v12,"6,592",624,250,"8,70","360,000",petrol,4,870
rolls royce,cullinan,v12,"6,749",563,250,"9,70","325,000",petrol,5,850
rolls royce,phantom extended,v12,"6,749",563,250,"10,70","500,000",petrol,5,900
rolls royce,ghost extended,v12,"6,592",591,250,"11,70","370,000",petrol,5,850
rolls royce,wraith black badge,v12,"6,592",624,250,"12,70","360,000",petrol,4,870
rolls royce,dawn black badge,v12,"6,592",624,250,"13,70","390,000",petrol,4,870
rolls royce,cullinan black badge,v12,"6,749",563,250,"14,70","350,000",petrol,5,850
rolls royce,phantom coupe,v12,"6,749",563,250,"15,70","450,000",petrol,4,870
rolls royce,ghost coupe,v12,"6,592",591,250,"16,70","340,000",petrol,4,850
rolls royce,wraith coupe,v12,"6,592",624,250,"17,70","330,000",petrol,4,870
rolls royce,dawn convertible,v12,"6,592",624,250,"18,70","380,000",petrol,4,870
rolls royce,cullinan suv,v12,"6,749",563,250,"19,70","320,000",petrol,5,850
mercedes,benz s-class s 580,v8,"3,982",496,250,"20,70","116,000",petrol,5,700
mercedes,benz e-class e 63 s,v8,"3,982",603,250,"21,70","104,000",petrol,5,850
mercedes,benz cla 45 amg,i4,1991,382,250,"22,70","53,000",petrol,5,500
mercedes,benz gle 63 s,v8,"3,982",603,250,"23,70","113,000",petrol,5,850
mercedes,benz s-class s 500,v6,"2,996",429,250,"24,70","109,000",petrol,5,700
mercedes,benz e-class e 450,v6,"2,996",362,250,"25,70","62,000",petrol,5,500
mercedes,benz cls 450,v6,"2,996",362,250,"26,70","70,000",petrol,5,500
mercedes,benz gt 53,v6,"2,996",429,250,"27,70","99,000",petrol,5,700
mercedes,benz gle 450,v6,"2,996",362,250,"28,70","63,000",petrol,5,500
mercedes,benz a-class a 45 s,i4,"1,991",416,250,"29,70","53,000",petrol,5,500
mercedes,benz c-class c 43,v6,"2,996",402,250,"30,70","52,000",petrol,5,520
mercedes,benz e-class e 350,i4,"1,991",255,250,"31,70","49,000",petrol,5,500
mercedes,benz gle 350,i4,"1,991",255,250,"1,80","53,000",petrol,5,500
mercedes,benz glc 43,v6,"2,996",402,250,"2,80","54,000",petrol,5,520
mercedes,benz gla 45,i4,"1,991",382,250,"3,80","48,000",petrol,5,500
mercedes,benz glc 350,i4,"1,991",255,250,"4,80","46,000",petrol,5,500
mercedes,benz gle 53,v6,"2,996",429,250,"5,80","71,000",petrol,5,620
mercedes,benz s-class s 350,i4,"1,991",255,250,"6,80","90,000",petrol,5,500
mercedes,benz eqs 53,electric,N/A,751,250,"7,80","102,000",electric,5,950
mercedes,benz maybach s 680,v12,"5,98",630,250,"8,80","200,000",petrol,5,1000
bmw,m5 cs,v8,"4,395",627,305,"9,80","142,000",petrol,5,750
bmw,m4 gts,i6,"2,993",493,305,"10,80","133,000",petrol,4,600
bmw,m3 competition,i6,"2,993",503,285,"11,80","76,000",petrol,5,650
bmw,m2 cs,i6,"2,993",444,280,"12,80","83,000",petrol,4,550
bmw,x5 m competition,v8,"4,935",523,285,"13,80","114,000",petrol,5,750
bmw,x3 m competition,i6,"2,993",503,285,"14,80","69,000",petrol,5,650
bmw,m8 gran coupe,v8,"4,395",523,305,"15,80","146,000",petrol,5,750
bmw,m850i drive coupe,v8,"4,935",523,285,"16,80","108,000",petrol,4,750
rolls royce,dawn black badge volante,v12,"6,592",563,250,"17,80","398,000",petrol,4,840
rolls royce,cullinan black badge suv,v12,"6,749",563,250,"18,80","381,000",petrol,5,850
rolls royce,phatom tranquility,v12,"6,749",563,250,"19,80","475,000",petrol,5,900
rolls royce,ghost zenith,v12,"6,749",563,250,"20,80","335,000",petrol,5,900
rolls royce,wraith eagle viii,v12,"6,592",623,250,"21,80","349,000",petrol,4,800
rolls royce,phatom orchid,v12,"6,749",563,250,"22,80","495,000",petrol,5,900
rolls royce,ghost azure,v12,"6,749",563,250,"23,80","355,000",petrol,5,900
rolls royce,wraith kryptos,v12,"6,592",623,250,"24,80","369,000",petrol,4,800
rolls royce,dawn silver bullet,v12,"6,592",563,250,"25,80","418,000",petrol,4,840
rolls royce,cullinan fux orange,v12,"6,749",563,250,"26,80","401,000",petrol,5,850
rolls royce,phantom celestial,v12,"6,749",563,250,"27,80","515,000",petrol,5,900
rolls royce,ghost mysore,v12,"6,749",563,250,"28,80","375,000",petrol,5,900
rolls royce,wraith luminary,v12,"6,592",623,250,"29,80","389,000",petrol,4,800
rolls royce,dawn black badge adamas,v12,"6,592",563,250,"30,80","439,000",petrol,4,840
rolls royce,cullinan red diamond,v12,"6,749",563,250,"31,80","421,000",petrol,5,850
audi,r8 v10 plus,v10,"5,204",610,330,"1,90","194,000",petrol,2,560
audi,rs7 sportback,v8,"3,993",591,305,"2,90","114,000",petrol,5,800
audi,s8,v8,"3,993",563,305,"3,90","101,000",petrol,5,800
audi,rs6 avant,v8,"3,993",591,305,"4,90","109,000",petrol,5,800
audi,s7 sportback,v8,"3,993",563,305,"5,90","96,000",petrol,5,650
audi,a8,v6,"2,995",335,250,"6,90","86,000",petrol,5,600
audi,s5 coupe,v6,"2,995",349,250,"7,90","64,000",petrol,4,500
audi,sq5,v6,"2,995",349,250,"8,90","62,000",petrol,5,500
audi,s4 sedan,v6,"2,995",349,250,"9,90","59,000",petrol,5,500
audi,s3 sedan,i4,"1,984",306,250,"10,90","52,000",petrol,5,400
audi,q7,v6,"2,995",335,250,"11,90","60,000",petrol,7,600
audi,q5,i4,"1,984",248,240,"12,90","43,000",petrol,5,500
audi,a7,v6,"2,995",335,250,"13,90","68,000",petrol,5,600
audi,a6,v6,"2,995",335,250,"14,90","58,000",petrol,5,600
audi,a5 coupe,i4,"1,984",248,240,"15,90","45,000",petrol,4,500
audi,a4,i4,"1,984",248,240,"16,90","39,000",petrol,5,400
audi,q3,i4,"1,984",248,230,"17,90","35,000",petrol,5,400
audi,e-tron,electric,95 kwh,402,200,"18,90","75,000",electric,5,664
audi,e-tron sportback,electric,95 kwh,402,200,"19,90","78,000",electric,5,664
audi,tt coupe,i4,"1,984",248,250,"20,90","49,000",petrol,2,400
bmw,i8 roadster,electric,11.6 kwh,369,250,"21,90","165,000",hybrid,2,570
bmw,330i,i4,"1,998",255,250,"22,90","45,000",petrol,5,400
bmw,m340i xdrive,i6,"2,998",382,250,"23,90","57,000",petrol,5,500
bmw,430i coupe,i4,"1,998",255,250,"24,90","48,000",petrol,4,400
bmw,m4 competition,i6,"2,993",503,290,"25,90","81,000",petrol,4,650
bmw,530i,i4,"1,998",248,250,"26,90","57,000",petrol,5,400
bmw,m550i xdrive,v8,"4,395",523,250,"27,90","78,000",petrol,5,650
bmw,118i,i3,"1,499",136,213,"28,90","32,000",petrol,5,220
bmw,128ti,i4,"1,998",261,250,"29,90","42,000",petrol,5,400
bmw,m135i xdrive,i4,"1,998",302,250,"30,90","30,000",petrol,5,450
bmw,116d,i3,"1,496",116,200,"1,10","30,000",diesel,5,280
bmw,120d xdrive,i4,"1,995",190,230,"2,10","38,000",diesel,5,400
bmw,116i,i3,"1,499",109,200,"3,10","28,000",petrol,5,200
bmw,118d,i4,"1,995",150,216,"4,10","34,000",diesel,5,380
bmw,120i,i4,"1,998",178,230,"5,10","37,000",petrol,5,300
bmw,125i,i4,"1,998",224,240,"6,10","42,000",petrol,5,400
bmw,114d,i3,"1,496",95,185,"7,10","27,000",diesel,5,270
bmw,114i,i4,"1,598",102,195,"8,10","26,000",petrol,5,200
bmw,125d,i4,"1,995",224,240,"9,10","44,000",diesel,5,400
bmw,118i xdrive,i3,"1,499",136,211,"10,10","34,000",petrol,5,250
bmw,116d efficientdynamics,i3,"1,496",116,200,"11,10","30,000",diesel,5,270
bmw,118i sportline,i3,"1,499",136,213,"12,10","35,000",petrol,5,250
bmw,118i m sport,i3,"1,499",136,213,"13,10","37,000",petrol,5,250
bmw,120i m sport,i4,"1,998",178,230,"14,10","39,000",petrol,5,300
bmw,116i efficientdynamics,i4,"1,598",109,195,"15,10","29,000",petrol,5,200
bmw,116d advantage,i3,"1,496",116,200,"16,10","31,000",diesel,5,270
bmw,120d efficientdynamics,i4,"1,995",163,225,"17,10","39,000",diesel,5,400
bmw,118i shadow line,i3,"1,499",136,213,"18,10","36,000",petrol,5,250
bmw,118d sport line,i4,"1,995",150,216,"19,10","36,000",diesel,5,380
bmw,120i xdrive,i4,"1,998",178,230,"20,10","40,000",petrol,5,300
bmw,114d sport line,i3,"1,496",95,185,"21,10","28,000",diesel,5,270
bmw,118i urban line,i3,"1,499",136,213,"22,10","35,000",petrol,5,250
volvo,xc90,i6,"1,969",247,200,"23,10","60,000",petrol/diesel,7,400
volvo,xc60,i6,"1,969",247,220,"24,10","55,000",petrol/diesel,5,400
volvo,s90,i6,"1,969",295,250,"25,10","60,000",petrol/diesel,5,400
kia,sportage lx,i4,"2,48",187,200,"26,10","27,000",petrol,5,250
kia,sportage ex,i4,"2,48",187,200,"27,10","30,000",petrol,5,250
kia,sportage gt-line,i4,"2,48",187,200,"28,10","32,000",petrol,5,350
kia,sportage sx turbo,i4,"1,998",240,210,"29,10","36,000",petrol,5,400
kia,sportage nightfall edition,i4,"2,48",187,200,"30,10","33,000",petrol,5,350
honda,civic type r,i4,"1,996",315,272,"31,10","44,000",petrol,5,400
kia,sportage 2024(base model),i4,"2,48",187,200,"2,11","26,000",petrol,5,250
kia,sportage 2024(top trim),i4,"1,998",240,210,"3,11","38,000",petrol,5,400
kia,sportage 2024(base awd),i4,"2,48",187,200,"4,11","29,000",petrol/awd,5,250
kia,sportage x-line,i4,"2,48",187,200,"5,11","32,500",petrol,5,350
kia,sportage 2024(s trim),i4,"2,48",187,200,"6,11","28,000",petrol,5,250
honda,accord,i4,"1,498",192,201,"7,11","29,400",petrol,5,370
kia,sportage 2024(x-pro),i4,"2,48",187,200,"10,11","36,000",petrol,5,400
kia,sportage 2024(x-pro prestige),i4,"2,48",187,200,"11,11","38,000",petrol,5,400
kia,sportage 2024(sx turbo awd),i4,"1,998",240,210,"12,11","40,000",petrol/awd,5,400
kia,sportage 2024(base fwd),i4,"2,48",187,200,"13,11","26,500",petrol,5,250
honda,cr-v,i4,"1,498",190,186,"14,11","30,000",petrol/hybrid,5,400
honda,pilot,v6,"3,471",285,209,"15,11","40,000",petrol,8,360
honda,civic hatchback,i4,"1,498",180,220,"16,11","26,350",petrol,5,300
toyota,camry,v6,"3,5",301,220,"17,11","27,000",petrol/hybrid,5,250
toyota,corolla,i4,"1,798",139,180,"18,11","22,500",petrol/hybrid,5,200
toyota,prius,i4,"1,798",121,180,"19,11","26,700",hybrid,5,142
toyota,rav4,i4,"2,494",203,200,"20,11","27,100",petrol/hybrid,5,400
toyota,highlander,v6,"3,456",295,220,"21,11","38,400",petrol/hybrid,7,370
toyota,4runner,v6,"3,956",270,200,"22,11","37,400",petrol,5,400
toyota,tacoma,i4,"2,694",159,180,"23,11","26,400",petrol,5,400
toyota,tundra,v8,"5,663",381,220,"24,11","39,900",petrol,5,650
toyota,avalon,v6,"3,456",301,220,"25,11","41,400",petrol,5,400
toyota,mirai,i4,"1,798",151,180,"26,11","52,400",hydrogen,5,335
toyota,sienna,v6,"2,494",245,190,"27,11","44,150",petrol/hybrid,7,360
toyota,venza,i4,"2,494",219,200,"28,11","33,400",hybrid,5,400
toyota,highlander hybrid,v6,"3,456",240,220,"29,11","40,400",hybrid,7,350
toyota,land cruiser prado,v6,"3,956",282,200,"30,11","49,400",petrol/diesel,7,450
toyota,tundra hybrid,v6,"3,456",344,220,"1,12","43,400",hybrid,5,650
toyota,yaris,i4,"1,496",106,180,"2,12","18,400",petrol,5,150
toyota,c-hr,i4,"1,986",144,200,"3,12","24,400",petrol/hybrid,5,250
toyota,bz4x,electric,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218,200,"4,12","43,400",electric,5,330
toyota,crown,hybrid,"2,494",236,200,"5,12","38,400",hybrid,5,400
toyota,mr2,i4,"1,986",168,200,"6,12","29,000",petrol,2,400
toyota,celica,i4,"1,986",140,200,"7,12","25,000",petrol,5,250
honda,city,i4,"1,497",119,180,"8,12","15,400",petrol/hybrid,5,145
honda,civic,i4,"1,996",158,200,"9,12","20,400",petrol,5,400
toyota,innova hycross,2.0l hybrid,"1,987",184,165,"28,12","40,000",hybrid,7,250
toyota,proace verso electric,electric motor,75 KWH,136,130,"2,10","55,000",electric,7,280
toyota,bz3,electric motor,65 KWH,241,160,"5,10","35,000",electric,5,340
hyundai,ioniq 5,electric motor, ,225,185,"8,10","41,000",electric,5,350
hyundai,santa cruz,2.5l turbocharged inline-4,"2,5",281,215,"9,10","40,799",petrol,5,400
hyundai,kona,1.6l petrol,"1,591",147,185,"10,10","20,500",petrol/ev,5,400
hyundai,elantra,2.0l inline-4,2,147,210,"11,10","19,950",petrol/hybrid,5,250
hyundai,ioniq 6,electric motor,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320,185,"13,10","41,450",electric,5,350
hyundai,tucson,2.5l inline-4,"2,5",187,180,"14,10","30,500",petrol/hybrid,5,400
hyundai,palisade,3.8l v6,"3,8",291,240,"15,10","52,000",petrol,7,355
hyundai,sonata,2.5l inline-4,"2,5",191,240,"16,10","25,000",petrol/hybrid,5,250
hyundai,accent,1.6l inline-4,"1,6",120,180,"17,10","15,000",petrol,5,151
hyundai,venue,1.6l inline-4,"1,6",121,180,"18,10","18,000",petrol,5,240
hyundai,kona electric,electric motor,39.2 kwh,200,200,"19,10","40,000",electric,5,395
hyundai,veloster,2.0l inline-4,2,275,220,"20,10","25,000",petrol,4,264
hyundai,nexo,electric motor,1.56 kwh,161,180,"21,10","38,000",hydrogen,5,400
hyundai,ioniq,1.6l inline-4,"1,6",139,160,"22,10","18,000",hybrid/electric,5,295
hyundai,genesis,3.8l v6,"3,8",291,240,"23,10","52,000",petrol,5,400
hyundai,azera,3.3l v6,"3,3",278,240,"24,10","55,000",petrol,5,250
hyundai,equus,3.3l v6,"3,3",278,240,"25,10","55,000",petrol,5,400
hyundai,tiburon,2.0l inline-4,2,160,200,"26,10","19,000",petrol,4,320
hyundai,elantra gt,1.6l turbo gdi 4-cylinder,2,160,200,"27,10","22,000",petrol,5,320
volkswagen,passat,2.0l turbo i4,1984,280,210,"29,10","25,000",petrol,5,250
volkswagen,tiguan,2.0l turbo i4,1984,230,209,"30,10","28,505","petrol, hybrid",7,300
volkswagen,jetta,1.5l turbo i4,1498,228,210,"31,10","21,995",petrol,5,250
volkswagen,arteon,2.0l turbo i4,1984,280,250,"2,20","46,000",petrol,5,350
volkswagen,id.4,electric,77 kWh,302,160,"3,20","39,735",electric,5,310
volkswagen,up!,electric,32.3 kWh,82,160,"4,20","15,000",petrol,4,95
volkswagen,scirocco,2.0l turbo i4,1984,280,233,"6,20","35,000",petrol,4,350
volkswagen,beetle,2.0l turbo i4,1984,210,205,"7,20","20,000",petrol,4,240
volkswagen,amarok,3.0l v6 turbo diesel,2967,258,180,"8,20","40,000",diesel,5,550
volkswagen,t-roc,2.0l turbo i4,1984,300,205,"9,20","30,000",petrol,5,320
volkswagen,sharan,2.0l turbo i4,1984,220,200,"10,20","33,000","petrol, diesel",7,280
volkswagen,caddy,1.5l turbo i4,1498,150,185,"11,20","28,000","petrol, diesel",7,250
nissan,nv1500,4.0l v6,3954,261,160,"12,20","33,000",petrol,12,385
volkswagen,taigo,1.5l turbo i4,1498,150,183,"13,20","24,000",petrol,5,200
volkswagen,california,2.0l turbo i4,1984,204,180,"14,20","70,000",diesel,7,340
volkswagen,id.3,electric,58 - 77 kWh,204,160,"15,20","35,000",electric,5,310
volkswagen,id. buzz,electric,77 kWh,204,145,"16,20","59,995",electric,7,310
volkswagen,golf gti,2.0l turbo i4,1984,245,250,"17,20","31,965",petrol,5,350
volkswagen,golf r,2.0l turbo i4,1984,315,250,"18,20","44,640",petrol,5,420
volkswagen,passat alltrack,2.0l turbo diesel i4,1968,240,220,"19,20","36,000",diesel,5,400
volkswagen,polo gti,2.0l turbo i4,1984,204,238,"20,20","28,000",petrol,5,320
volkswagen,up! gti,1.0l turbo i3,999,115,196,"21,20","20,000",petrol,4,200
volkswagen,id.5,electric,77 kWh,299,180,"23,20","45,000",electric,5,310
volkswagen,id. buzz cargo,electric,77 kWh,204,145,"24,20","55,000",electric,3,310
volkswagen,touareg r,plug-in hybrid v6,2995,462,250,"25,20","70,000",hybrid,5,700
volkswagen,polo bluemotion,1.2l diesel i3,1199,95,190,"27,20","22,000",diesel,5,250
volkswagen,golf sportsvan,1.5l turbo i4,1498,150,210,"28,20","30,000",petrol,5,250
volkswagen,golf alltrack,2.0l turbo diesel i4,1968,200,210,"1,30","35,000",petrol,5,350
volkswagen,scirocco r,2.0l turbo i4,1984,280,250,"2,30","40,000",petrol,4,350
volkswagen,tiguan allspace,2.0l turbo i4,1984,230,215,"3,30","35,000",petrol,7,320
volkswagen,arteon 4motion,2.0l turbo i4,1984,320,250,"4,30","48,000",petrol,5,350
volkswagen,id.4 gtx,electric awd,77 kWh,299,180,"5,30","50,000",electric,5,460
volkswagen,id.3 pro,electric,58 kWh,204,160,"6,30","35,000",electric,5,310
volkswagen,crafter,2.0l turbo diesel i4,1968,177,160,"8,30","40,000",diesel,3,410
volkswagen,corrado,2.9l vr6,2861,190,235,"10,30","25,000",petrol,4,245
volkswagen,santana,1.5l i4 gas,1498,110,190,"13,30","15,000",petrol,5,145
volkswagen,karmann ghia,1.2l i4 gas,1192,60,138,"15,30","25,000",petrol,2,106
volkswagen,golf electric,electric,35.8 kWh,136,140,"18,30","33,000",electric,5,290
volkswagen,taos,1.5l i4 turbo,1498,158,193,"21,30","24,000",petrol,5,250
volkswagen,up! cabriolet,1.0l i3 turbo,999,115,160,"22,30","18,000",petrol,4,95
volkswagen,passat cc,2.0l i4 turbo,1984,280,240,"24,30","40,000",petrol,5,280
volkswagen,transporter,2.0l i4 turbo diesel,1968,204,180,"25,30","35,000",diesel,9,340
volkswagen,amarok v6,3.0l v6 turbo diesel,2967,258,191,"26,30","45,000",diesel,5,580
volkswagen,id.2,electric,~50 kWh (Estimate),170,160,"27,30","25,000",electric,5,220
volkswagen,golf gte,1.4l i4 turbo + electric motor,1395  + Electric Motor,204,222,"29,30","40,000",hybrid,5,350
volkswagen,touareg v8,4.0l v8 turbo diesel,3956,421,250,"30,30","70,000",petrol,5,770
volkswagen,beetle dune,1.4l i4 turbo,1395,150,200,"31,30","30,000",petrol,4,250
volkswagen,id.4 pro s,electric motor,77 kWh,201,180,"2,40","45,000",electric,5,310
volkswagen,golf country,1.8l i4 gas,1781,98,165,"4,40","25,000",petrol,5,170
volkswagen,jetta gli,2.0l i4 turbo,1984,228,250,"5,40","31,000",petrol,5,350
volkswagen,arteon shooting brake,2.0l i4 turbo,1984,320,250,"6,40","50,000",petrol,5,420
volkswagen,golf r32,3.2l vr6,3189,240,250,"8,40","40,000",petrol,5,320
volkswagen,scirocco 16v,1.8l i4 gas,1781,137,220,"10,40","35,000",petrol,4,230
volkswagen,polo bluemotion,1.2l diesel i3,1199,95,190,"11,40","20,000",diesel,5,210
volkswagen,golf variant gtd,2.0l diesel i4,1968,184,230,"12,40","38,000",diesel,5,380
volkswagen,polo gti r5,1.6l turbocharged rally engine,1598,272,200,"13,40","45,000",petrol,5,400
volkswagen,id. buzz pro,electric motor,77 kWh,204,145,"14,40","60,000",electric,7,310
volkswagen,golf variant alltrack,2.0l diesel i4,1968,200,220,"16,40","35,000",petrol,5,320
volkswagen,volkswagen xl1,plug-in hybrid (0.8l i2 diesel),800  + Electric Motor,68,160,"17,40","150,000",hybrid,2,140
volkswagen,golf tdi,2.0l diesel i4,1968,184,220,"18,40","28,000",diesel,5,350
volkswagen,polo gti clubsport,2.0l i4 turbo,1984,300,240,"20,40","30,000",petrol,5,320
volkswagen,jetta hybrid,1.4l i4 turbo + electric motor,1395,170,210,"21,40","28,000",hybrid,5,250
volkswagen,id.3 gtx,electric motor,77 kWh,299,180,"22,40","45,000",electric,5,310
volkswagen,arteon r-line,2.0l i4 turbo,1984,280,250,"23,40","50,000",petrol,5,420
volkswagen,golf tgi,1.5l i4 cng,1498,130,220,"24,40","30,000",petrol,5,200
volkswagen,scirocco gts,2.0l i4 turbo,1984,220,246,"25,40","35,000",petrol,4,350
volkswagen,caddy maxi,2.0l diesel i4,1968,150,180,"26,40","25,000",diesel,7,250
volkswagen,volkswagen lupo 3l,1.2l diesel i3,1199,61,165,"27,40","20,000",diesel,4,140
volkswagen,polo beats,1.0l i3 turbo,999,95,187,"28,40","22,000",petrol,5,175
volkswagen,passat hybrid,1.4l i4 turbo + electric motor,1395,215,210,"29,40","32,000",hybrid,5,330
volkswagen,golf tcr,2.0l i4 turbo,1984,290,250,"30,40","40,000",petrol,5,370
volkswagen,tiguan r-line,2.0l i4 turbo,1984,230,250,"1,50","45,000",petrol,5,420
volkswagen,sharan business,2.0l diesel i4,1968,184,200,"2,50","35,000",diesel,7,350
volkswagen,id. buzz cargo pro,electric,77 kWh,204,145,"3,50","55,000",electric,2,310
volkswagen,arteon 280 tsi,2.0l i4 turbo,1984,280,250,"4,50","50,000",petrol,5,350
volkswagen,jetta gli 35th,2.0l i4 turbo,1984,228,250,"5,50","31,000",petrol,5,350
volkswagen,beetle final edition,2.0l i4 turbo,1984,174,205,"6,50","25,000",petrol,4,250
volkswagen,golf variant tdi,2.0l diesel i4,1968,184,220,"7,50","30,000",diesel,5,350
volkswagen,golf 4motion,2.0l diesel i4,1968,184,250,"8,50","40,000",petrol,5,400
volkswagen,polo gti plus,2.0l i4 turbo,1984,207,237,"10,50","30,000",petrol,5,320
volkswagen,tiguan ehybrid,1.4l i4 turbo + electric motor,1395  + Battery,245,200,"12,50","42,000",hybrid,5,400
volkswagen,up! e-up!,electric motor,32.3 kWh,83,130,"13,50","23,000",electric,4,210
volkswagen,amarok v8,4.0l v8 turbo diesel,3996,340,210,"14,50","70,000",diesel,5,580
volkswagen,golf r cabriolet,2.0l i4 turbo,1984,265,250,"15,50","45,000",petrol,4,380
